"","Book","Author"
"1","ULYSSES","James Joyce"
"2","THE GREAT GATSBY","F. Scott Fitzgerald"
"3","A PORTRAIT OF THE ARTIST AS A YOUNG MAN","James Joyce"
"4","LOLITA","Vladimir Nabokov"
"5","BRAVE NEW WORLD","Aldous Huxley"
"6","THE SOUND AND THE FURY","William Faulkner"
"7","CATCH-22","Joseph Heller"
"8","DARKNESS AT NOON","Arthur Koestler"
"9","SONS AND LOVERS","D.H. Lawrence"
"10","THE GRAPES OF WRATH","John Steinbeck"
"11","UNDER THE VOLCANO","Malcolm Lowry"
"12","THE WAY OF ALL FLESH","Samuel Butler"
"13","1984","George Orwell"
"14","I, CLAUDIUS","Robert Graves"
"15","TO THE LIGHTHOUSE","Virginia Woolf"
"16","AN AMERICAN TRAGEDY","Theodore Dreiser"
"17","THE HEART IS A LONELY HUNTER","Carson McCullers"
"18","SLAUGHTERHOUSE-FIVE","Kurt Vonnegut"
"19","INVISIBLE MAN","Ralph Ellison"
"20","NATIVE SON","Richard Wright"
"21","HENDERSON THE RAIN KING","Saul Bellow"
"22","APPOINTMENT IN SAMARRA","John O’Hara"
"23","U.S.A.(trilogy)","John Dos Passos"
"24","WINESBURG, OHIO","Sherwood Anderson"
"25","A PASSAGE TO INDIA","E.M. Forster"
"26","THE WINGS OF THE DOVE","Henry James"
"27","THE AMBASSADORS","Henry James"
"28","TENDER IS THE NIGHT","F. Scott Fitzgerald"
"29","THE STUDS LONIGAN TRILOGY","James T. Farrell"
"30","THE GOOD SOLDIER","Ford Madox Ford"
"31","ANIMAL FARM","George Orwell"
"32","THE GOLDEN BOWL","Henry James"
"33","SISTER CARRIE","Theodore Dreiser"
"34","A HANDFUL OF DUST","Evelyn Waugh"
"35","AS I LAY DYING","William Faulkner"
"36","ALL THE KING’S MEN","Robert Penn Warren"
"37","THE BRIDGE OF SAN LUIS REY","Thornton Wilder"
"38","HOWARDS END","E.M. Forster"
"39","GO TELL IT ON THE MOUNTAIN","James Baldwin"
"40","THE HEART OF THE MATTER","Graham Greene"
"41","LORD OF THE FLIES","William Golding"
"42","DELIVERANCE","James Dickey"
"43","A DANCE TO THE MUSIC OF TIME (series)","Anthony Powell"
"44","POINT COUNTER POINT","Aldous Huxley"
"45","THE SUN ALSO RISES","Ernest Hemingway"
"46","THE SECRET AGENT","Joseph Conrad"
"47","NOSTROMO","Joseph Conrad"
"48","THE RAINBOW","D.H. Lawrence"
"49","WOMEN IN LOVE","D.H. Lawrence"
"50","TROPIC OF CANCER","Henry Miller"
"51","THE NAKED AND THE DEAD","Norman Mailer"
"52","PORTNOY’S COMPLAINT","Philip Roth"
"53","PALE FIRE","Vladimir Nabokov"
"54","LIGHT IN AUGUST","William Faulkner"
"55","ON THE ROAD","Jack Kerouac"
"56","THE MALTESE FALCON","Dashiell Hammett"
"57","PARADE’S END","Ford Madox Ford"
"58","THE AGE OF INNOCENCE","Edith Wharton"
"59","ZULEIKA DOBSON","Max Beerbohm"
"60","THE MOVIEGOER","Walker Percy"
"61","DEATH COMES FOR THE ARCHBISHOP","Willa Cather"
"62","FROM HERE TO ETERNITY","James Jones"
"63","THE WAPSHOT CHRONICLES","John Cheever"
"64","THE CATCHER IN THE RYE","J.D. Salinger"
"65","A CLOCKWORK ORANGE","Anthony Burgess"
"66","OF HUMAN BONDAGE","W. Somerset Maugham"
"67","HEART OF DARKNESS","Joseph Conrad"
"68","MAIN STREET","Sinclair Lewis"
"69","THE HOUSE OF MIRTH","Edith Wharton"
"70","THE ALEXANDRIA QUARTET","Lawrence Durell"
"71","A HIGH WIND IN JAMAICA","Richard Hughes"
"72","A HOUSE FOR MR BISWAS","V.S. Naipaul"
"73","THE DAY OF THE LOCUST","Nathanael West"
"74","A FAREWELL TO ARMS","Ernest Hemingway"
"75","SCOOP","Evelyn Waugh"
"76","THE PRIME OF MISS JEAN BRODIE","Muriel Spark"
"77","FINNEGANS WAKE","James Joyce"
"78","KIM","Rudyard Kipling"
"79","A ROOM WITH A VIEW","E.M. Forster"
"80","BRIDESHEAD REVISITED","Evelyn Waugh"
"81","THE ADVENTURES OF AUGIE MARCH","Saul Bellow"
"82","ANGLE OF REPOSE","Wallace Stegner"
"83","A BEND IN THE RIVER","V.S. Naipaul"
"84","THE DEATH OF THE HEART","Elizabeth Bowen"
"85","LORD JIM","Joseph Conrad"
"86","RAGTIME","E.L. Doctorow"
"87","THE OLD WIVES’ TALE","Arnold Bennett"
"88","THE CALL OF THE WILD","Jack London"
"89","LOVING","Henry Green"
"90","MIDNIGHT’S CHILDREN","Salman Rushdie"
"91","TOBACCO ROAD","Erskine Caldwell"
"92","IRONWEED","William Kennedy"
"93","THE MAGUS","John Fowles"
"94","WIDE SARGASSO SEA","Jean Rhys"
"95","UNDER THE NET","Iris Murdoch"
"96","SOPHIE’S CHOICE","William Styron"
"97","THE SHELTERING SKY","Paul Bowles"
"98","THE POSTMAN ALWAYS RINGS TWICE","James M. Cain"
"99","THE GINGER MAN","J.P. Donleavy"
"100","THE MAGNIFICENT AMBERSONS","Booth Tarkington"
